the_geom,H_NO,BIN,ADDRESS_ID,HNO_SUFFIX,HYPHEN_TYP,SIDE_OF_ST,SPECIAL_CO,BOROCODE,ZIPCODE,CREATED,MODIFIED,ST_NAME,HN_RNG,HN_RNG_SUF,PHYSICALID,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE
POINT (-73.88512298316613 40.841489121074524),1926,2010621,5179426,,N,2,V,2,10460,05/09/2017 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,CROTONA,,,95365,,,,PKWY,,,CROTONA PKWY
POINT (-73.97339506729043 40.797144171784375),260,1057080,1047331,,N,2,V,1,10025,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,RIVERSIDE,,,23373,,,,DR,,,RIVERSIDE DR
POINT (-73.90761958078659 40.81369631020187),560,2120246,5179257,,N,2,V,2,10455,05/05/2017 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,CONCORD,,,35893,,,,AVE,,,CONCORD AVE
POINT (-73.95005651631091 40.60198549422357),2123,3197125,3249699,,N,1,V,3,11229,02/13/2009 12:00:00 AM +0000,08/14/2015 12:00:00 AM +0000,T,,,45621,,,AVE,,,,AVE T
POINT (-73.91111963353383 40.82022402165691),759,2096542,2002378,,N,1,V,2,10451,03/16/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,ST ANNS,,,100810,,,,AVE,,,ST ANNS AVE
POINT (-73.98342532310788 40.78368074384918),50,1031092,1027697,,N,2,V,1,10024,04/06/2009 12:00:00 AM +0000,03/21/2018 12:00:00 AM +0000,RIVERSIDE,,,183552,,,,DR,,,RIVERSIDE DR
POINT (-73.8323260054998 40.65618452367665),14,4296183,328699,A,N,2,V,4,11414,09/23/2008 12:00:00 AM +0000,08/19/2015 12:00:00 AM +0000,VAN DER LINN,,,138766,,,,ST,,,VAN DER LINN ST
POINT (-74.15284005213235 40.60425357030186),2800,5107296,5125714,F,N,1,V,5,10314,08/03/2011 12:00:00 AM +0000,08/21/2015 12:00:00 AM +0000,VICTORY,,,104263,,,,BLVD,,,VICTORY BLVD
POINT (-74.14902430693604 40.59869652162256),2800,5107303,5125747,Q,N,2,V,5,10314,08/03/2011 12:00:00 AM +0000,08/21/2015 12:00:00 AM +0000,VICTORY,,,105560,,,,BLVD,,,VICTORY BLVD
POINT (-74.0865721616756 40.61345152426877),538,5147502,9208167,,N,2,V,5,10304,06/15/2011 12:00:00 AM +0000,08/25/2015 12:00:00 AM +0000,VANDERBILT,,,100304,,,,AVE,,,VANDERBILT AVE
POINT (-73.956373296911 40.7865602128127),1130,1073036,1037221,,N,1,V,1,10128,04/06/2009 12:00:00 AM +0000,09/29/2015 12:00:00 AM +0000,5,,,21703,,,,AVE,,,5 AVE
POINT (-73.91111898959431 40.81996664340463),755,2096558,2002409,,N,2,V,2,10451,03/16/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,ST ANNS,,,100810,,,,AVE,,,ST ANNS AVE
POINT (-73.91064737783856 40.894007438609634),4655,2085840,2098919,,N,1,V,2,10471,03/16/2009 12:00:00 AM +0000,08/27/2015 12:00:00 AM +0000,ARLINGTON,,,164032,,,,AVE,,,ARLINGTON AVE
POINT (-73.96403762872197 40.771362700962655),760,1041463,1062160,,N,1,V,1,10021,04/06/2009 12:00:00 AM +0000,09/29/2015 12:00:00 AM +0000,PARK,,,23269,,,,AVE,,,PARK AVE
